1,9,0,0,1
11,1,0,2,1
21,2,0,2,2
31,3,1,3,4
41,5,1,4,5
51,6,0,4,5
61,43,1,6,7
71,7,1,7,8
81,16,0,7,10
91,9,0,8,12
101,10,1,9,13
111,12,1,18,15
121,12,1,11,16
131,14,1,11,18
141,23,1,12,20
151,15,1,14,22
161,25,1,15,23
171,18,1,15,25
181,27,1,16,26
191,20,2,26,29
201,20,1,17,31
211,31,2,19,33
221,23,2,28,35
231,25,2,22,37
241,32,1,21,38
251,33,2,22,40
261,27,2,33,42
271,28,2,32,44
281,29,2,33,47
291,29,3,34,48
301,32,3,34,50
311,32,2,36,53
321,33,2,36,55
331,33,2,35,56
341,37,3,39,59
351,37,3,39,60
361,37,2,40,63
371,46,3,32,63
381,49,3,33,66
391,49,3,42,69
401,41,3,43,70
411,50,4,37,74
421,52,3,46,75
431,45,3,45,77
441,53,3,38,79
451,77,3,39,68
461,46,2,33,69
471,47,3,40,71
481,48,3,35,73
491,49,3,43,74
501,54,2,37,65
511,36,2,37,66
521,43,3,38,68
531,44,3,39,69
541,41,3,39,76
551,45,2,38,71
561,46,2,48,72
571,45,3,38,73
581,46,3,40,75
591,47,3,35,76
601,48,3,42,77
611,49,3,41,80
621,50,3,42,80
631,50,3,43,82
641,50,3,42,83
651,52,3,49,85
661,52,4,45,87
671,54,3,47,90
681,53,4,46,132
691,54,3,56,93
701,56,4,48,115
711,77,4,51,97
721,66,4,64,108
731,58,4,50,108
741,63,4,49,99
751,58,4,50,101
761,59,4,55,103
771,60,4,51,104
781,61,4,58,105
791,61,3,53,107
801,61,3,59,108
811,64,4,55,117
821,68,4,54,112
831,63,4,61,113
841,66,4,55,114
851,70,4,55,157
861,66,4,63,118
871,67,4,63,119
881,67,5,59,122
891,74,4,59,123
901,75,4,60,123
911,74,4,61,127
921,75,5,59,128
931,76,4,61,129
941,76,4,62,131
951,79,5,63,133
961,78,5,62,134
971,79,5,64,136
981,82,5,66,147
991,80,4,71,139
1001,77,4,106,142
1011,76,5,69,143
1021,82,5,68,144
1031,83,5,73,146
1041,80,5,74,161
1051,86,5,67,160
1061,87,5,74,152
1071,88,5,70,152
1081,88,5,77,154
1091,83,5,76,157
1101,87,5,76,158
1111,90,5,73,159
1121,90,5,77,171
1131,90,6,78,163
1141,86,5,77,165
1151,92,5,79,166
1161,92,5,79,168
1171,87,6,80,170
1181,93,6,81,172
1191,94,6,82,173
1201,95,6,82,173
1211,97,6,84,176
1221,96,6,83,179
1231,108,6,85,232
1241,134,7,137,192
1251,100,6,85,185
1261,100,7,85,196
1271,105,6,108,210
1281,115,6,90,234
1291,113,6,86,192
1301,103,7,87,193
1311,105,6,89,193
1321,104,6,95,198
1331,104,7,90,217
1341,104,6,92,198
1351,107,7,95,200
1361,106,7,91,201
1371,107,7,92,203
1381,109,7,98,207
1391,108,7,95,207
1401,109,7,101,210
1411,110,7,96,211
1421,111,7,101,212
1431,123,6,95,213
1441,117,7,97,215
1451,113,7,102,217
1461,112,7,98,220
1471,124,7,101,237
1481,114,7,104,224
1491,116,8,105,225
1501,117,7,101,227
1511,123,7,101,238
1521,123,7,102,230
1531,124,7,100,232
1541,125,7,103,234
1551,118,8,109,249
1561,151,8,108,237
1571,123,7,110,239
1581,126,7,104,241
1591,128,8,108,243
1601,139,8,145,236
1611,125,7,105,240
1621,126,8,108,241
1631,126,7,109,243
1641,127,7,105,246
1651,128,8,106,246
1661,131,8,113,248
1671,126,8,113,254
1681,141,8,113,251
1691,127,7,112,252
1701,133,8,109,253
1711,179,8,163,342
1721,185,18,181,278
1731,145,9,122,274
1741,151,8,117,282
1751,146,8,116,261
1761,136,8,118,264
1771,137,8,118,266
1781,132,9,118,291
1791,138,8,119,269
1801,139,8,120,272
1811,143,8,121,272
1821,142,9,115,283
1831,143,9,123,276
1841,143,8,123,277
1851,143,8,122,280
1861,147,8,122,281
1871,146,8,133,292
1881,145,8,124,285
1891,144,9,124,297
1901,146,9,125,289
1911,147,9,125,290
1921,153,9,125,290
1931,149,9,128,293
1941,149,9,127,294
1951,149,9,127,297
1961,149,9,135,307
1971,150,10,129,300
1981,151,9,131,302
1991,152,9,136,305
2001,152,9,132,305
2011,155,10,136,307
2021,153,9,134,309
2031,165,10,137,313
2041,156,9,133,313
2051,156,10,140,316
2061,156,9,133,315
2071,163,10,135,318
2081,157,10,142,319
2091,159,9,137,333
2101,165,10,148,384
2111,185,9,141,326
2121,165,10,145,329
2131,164,10,137,329
2141,169,10,139,332
2151,173,10,140,372
2161,170,10,141,335
2171,169,10,141,339
2181,171,10,142,340
2191,170,10,142,339
2201,174,10,143,343
2211,172,11,144,381
2221,173,10,143,347
2231,173,10,151,349
2241,169,11,150,350
2251,171,10,151,351
2261,175,11,145,353
2271,174,10,185,356
2281,172,10,151,356
2291,180,11,148,357
2301,179,10,156,358
2311,175,11,154,362
2321,181,11,157,364
2331,214,11,156,365
2341,181,11,149,366
2351,181,11,157,370
2361,185,10,156,371
2371,177,10,156,373
2381,186,11,158,412
2391,186,11,159,375
2401,181,11,159,374
2411,189,11,161,382
2421,191,11,162,382
2431,189,11,162,395
2441,185,12,164,386
2451,191,11,162,390
2461,190,11,164,392
2471,192,12,162,389
2481,191,11,164,391
2491,205,11,166,395
2501,194,11,164,397
2511,197,12,167,412
2521,197,12,165,399
2531,197,12,166,401
2541,197,11,184,402
2551,198,12,168,404
2561,198,12,169,407
2571,200,12,170,409
2581,199,12,170,412
2591,205,12,182,413
2601,200,12,172,414
2611,208,12,181,446
2621,201,12,172,419
2631,205,12,173,421
2641,219,12,173,423
2651,206,12,175,423
2661,212,12,172,426
2671,206,12,174,427
2681,211,13,177,427
2691,217,12,181,430
2701,207,12,177,432
2711,212,13,176,434
2721,210,13,182,436
2731,211,12,183,448
2741,213,13,178,440
2751,218,12,180,441
2761,215,12,181,444
2771,213,12,186,446
2781,212,13,187,458
2791,216,12,188,452
2801,215,13,186,451
2811,218,13,187,453
2821,217,13,190,456
2831,225,13,189,459
2841,218,12,188,457
2851,223,13,185,460
2861,224,14,188,466
2871,224,13,193,482
2881,218,14,194,466
2891,221,13,191,471
2901,227,13,188,468
2911,228,13,195,471
2921,236,13,195,475
2931,230,14,195,477
2941,225,13,197,479
2951,234,13,192,481
2961,231,13,205,482
2971,230,13,191,482
2981,232,14,195,484
2991,234,14,199,488
3001,229,14,199,500
3011,235,13,200,491
3021,246,14,202,493
3031,239,14,198,531
3041,237,14,200,509
3051,239,14,202,504
3061,238,14,203,501
3071,238,14,204,526
3081,242,14,201,518
3091,242,14,202,508
3101,247,15,206,567
3111,243,14,205,511
3121,241,15,206,522
3131,243,15,208,512
3141,244,14,207,515
3151,249,14,209,517
3161,247,14,209,520
3171,258,15,207,523
3181,247,14,210,523
3191,248,14,210,525
3201,247,15,217,528
3211,261,14,215,610
3221,253,14,210,529
3231,252,14,216,532
3241,253,15,212,543
3251,250,15,212,533
3261,258,15,214,547
3271,255,15,217,568
3281,259,15,219,551
3291,253,15,214,544
3301,259,15,215,543
3311,257,15,223,546
3321,259,15,217,556
3331,261,15,217,552
3341,254,15,223,554
3351,258,15,223,556
3361,259,15,230,558
3371,264,16,221,558
3381,264,16,220,561
3391,260,15,226,561
3401,270,16,227,563
3411,261,16,228,566
3421,264,16,231,571
3431,263,15,231,580
3441,262,16,230,573
3451,265,16,228,572
3461,264,15,231,575
3471,267,16,232,593
3481,273,16,226,578
3491,271,16,228,582
3501,274,16,232,584
3511,278,16,235,582
3521,276,16,231,586
3531,274,17,234,588
3541,280,17,238,638
3551,276,16,235,591
3561,276,17,236,593
3571,276,16,237,597
3581,289,17,237,599
3591,276,16,240,600
3601,284,17,238,603
3611,279,17,232,614
3621,283,16,241,604
3631,283,17,240,608
3641,280,17,243,611
3651,294,17,242,612
3661,286,16,242,609
3671,288,16,244,617
3681,285,17,245,628
3691,288,17,244,619
3701,286,17,243,625
3711,288,17,245,624
3721,301,17,247,629
3731,292,17,245,627
3741,291,17,245,630
3751,292,17,259,631
3761,294,17,248,634
3771,295,17,247,635
3781,293,17,250,648
3791,293,18,249,635
3801,302,17,251,638
3811,293,18,250,642
3821,304,18,251,644
3831,295,18,254,644
3841,303,18,250,647
3851,295,17,262,650
3861,297,18,252,665
3871,303,18,256,652
3881,298,17,253,663
3891,303,18,254,658
3901,302,18,254,660
3911,305,18,257,672
3921,300,18,257,662
3931,309,18,258,664
3941,305,18,261,675
3951,306,18,260,667
3961,313,18,261,672
3971,314,18,259,674
3981,318,18,267,674
3991,309,18,262,699
4001,312,18,262,678
4011,315,30,264,702
4021,315,18,264,682
4031,313,18,264,683
4041,310,19,285,686
4051,312,19,287,688
4061,310,19,271,690
4071,318,19,280,694
4081,321,18,267,695
4091,324,19,283,714
